Iteration, Request to decryption time
530, 425337
531, 408625
532, 419830
533, 411276
534, 413878
535, 442245
536, 524995
537, 442726
538, 434834
539, 426746
540, 423349
541, 524509
542, 440491
543, 422014
544, 436480
545, 435045
546, 418314
547, 437930
548, 893695
549, 429848
550, 420223
551, 431785
552, 425061
553, 485318
554, 416601
555, 419502
556, 416909
557, 428030
558, 456933
559, 631482
560, 415210
561, 424298
562, 964779
563, 431226
564, 435372
565, 505586
566, 429780
567, 440863
568, 465402
569, 446162
570, 428498
571, 431102
572, 421778
573, 415313
574, 415946
575, 440646
576, 422728
577, 521691
578, 429066
579, 426548
580, 423296
581, 417084
582, 414667
583, 419327
584, 405488
585, 413836
586, 448493
587, 430003
588, 424467
589, 501599
590, 439070
591, 434914
592, 426006
593, 434216
594, 443320
595, 424198
596, 436097
597, 419946
598, 414547
599, 422869
600, 411378
601, 513706
602, 415383
603, 425909
604, 416364
605, 426871
606, 421484
607, 419226
608, 445107
609, 427539
610, 422059
611, 435542
612, 422859
613, 506836
614, 424928
615, 415321
616, 418524
617, 429587
618, 430658
619, 434334
620, 2304919
621, 425677
622, 425020
623, 441807
624, 441044
625, 930147
626, 412862
627, 426127
628, 415701
629, 424919
630, 417316
631, 413352
632, 450843
633, 446790
634, 421467
635, 552313
636, 414777
637, 472898
638, 418024
639, 415918
640, 412732
641, 416951
642, 416714
643, 444364
644, 418082
645, 430567
646, 425391
647, 1039416
648, 413908
649, 452750
650, 414251
651, 426615
652, 417897
653, 422467
654, 431460
655, 421502
656, 419159
657, 413211
658, 542544
659, 422072
660, 436002
661, 481686
662, 425180
663, 457240
664, 423733
665, 421157
666, 445670
667, 426811
668, 424250
669, 436391
670, 723606
671, 419517
672, 419073
673, 498405
674, 415002
675, 421488
676, 5936187
677, 425280
678, 437943
679, 435031
680, 428716
681, 409791
682, 421049
683, 422826
684, 425303
685, 518200
686, 413161
687, 443044
688, 425451
689, 423932
690, 434383
691, 426141
692, 433444
693, 418862
694, 427211
695, 426245
696, 412726
697, 482974
698, 414621
699, 427370
700, 418426
701, 421393
702, 412906
703, 453703
704, 425006
705, 415375
706, 428631
707, 441902
708, 417185
709, 489471
710, 453668
711, 439820
712, 413470
713, 425027
714, 444194
715, 439326
716, 425261
717, 427620
718, 424526
719, 436794
720, 426182
721, 495867
722, 418220
723, 3302795
724, 410754
725, 426394
726, 435143
727, 410918
728, 486349
729, 428301
730, 419156
731, 424015
732, 422561
733, 525969
734, 436723
735, 423286
736, 429639
737, 430262
738, 419088
739, 416371
740, 7137458
741, 433285
742, 417487
743, 425175
744, 422260
745, 514518
746, 432793
747, 412074
748, 417124
749, 412533
750, 431692
751, 421742
752, 423286
753, 412220
754, 424595
755, 426814
756, 432193
757, 560381
758, 455315
759, 424326
760, 438765
761, 420671
762, 417068
763, 411231
764, 427418
765, 461684
766, 442047
767, 439885
768, 417797
769, 506784
770, 417341
771, 415660
772, 434405
773, 411919
774, 420285
775, 423982
776, 429240
777, 420226
778, 414217
779, 422650
780, 439141
781, 506833
782, 431019
783, 422162
784, 430954
785, 431482
786, 431484
787, 429978
788, 419806
789, 427978
790, 431850
791, 425019
792, 425947
793, 489393
794, 438477
795, 447409
796, 413680
797, 418101
798, 418692
799, 414879
800, 412149
801, 434847
802, 443234
803, 425420
804, 424822
805, 517091
806, 440931
807, 415711
808, 440049
809, 430852
810, 418672
811, 425058
812, 419701
813, 418818
814, 414608
815, 419657
816, 445393
817, 516244
818, 417814
819, 447451
820, 418254
821, 421119
822, 419227
823, 410828
824, 426704
825, 418817
826, 432760
827, 446177
828, 419600
829, 508272
830, 426109
831, 430168
832, 430063
833, 423196
834, 418760
835, 414523
836, 426319
837, 433491
838, 425396
839, 424315
840, 417872
841, 492779
842, 414942
843, 419075
844, 421113
845, 412154
846, 409853
847, 912656
848, 435540
849, 433264
850, 428101
851, 421340
852, 416431
853, 512398
854, 419422
855, 410575
856, 415148
