Iteration, Request to download time, Total length, Trials
228, 25603, 5875584, 0
229, 25322, 5875584, 0
230, 25423, 5875584, 0
231, 25390, 5875584, 0
232, 25083, 5875584, 0
233, 57736, 5875584, 0
234, 25181, 5875584, 0
235, 25249, 5875584, 0
236, 46035, 5875584, 0
237, 25007, 5875584, 0
238, 24878, 5875584, 0
239, 61375, 5875584, 0
240, 26283, 5875584, 0
241, 25403, 5875584, 0
242, 61585, 5875584, 0
243, 25748, 5875584, 0
244, 25025, 5875584, 0
245, 39315, 5875584, 0
246, 25716, 5875584, 0
247, 26224, 5875584, 0
248, 25012, 5875584, 0
249, 25072, 5875584, 0
250, 25015, 5875584, 0
251, 25023, 5875584, 0
252, 25303, 5875584, 0
253, 25367, 5875584, 0
254, 25295, 5875584, 0
255, 25247, 5875584, 0
256, 25069, 5875584, 0
257, 25035, 5875584, 0
258, 25020, 5875584, 0
259, 25061, 5875584, 0
260, 24961, 5875584, 0
261, 25052, 5875584, 0
262, 25167, 5875584, 0
263, 24875, 5875584, 0
264, 25287, 5875584, 0
265, 25423, 5875584, 0
266, 25161, 5875584, 0
267, 25633, 5875584, 0
268, 25042, 5875584, 0
269, 24661, 5875584, 0
270, 25126, 5875584, 0
271, 25348, 5875584, 0
272, 25002, 5875584, 0
273, 25067, 5875584, 0
274, 25430, 5875584, 0
275, 58966, 5875584, 0
276, 25092, 5875584, 0
277, 25304, 5875584, 0
278, 59336, 5875584, 0
279, 25121, 5875584, 0
280, 24833, 5875584, 0
281, 59347, 5875584, 0
282, 25143, 5875584, 0
283, 25186, 5875584, 0
284, 25243, 5875584, 0
285, 24921, 5875584, 0
286, 49293, 5875584, 0
287, 25185, 5875584, 0
288, 24894, 5875584, 0
289, 25372, 5875584, 0
290, 24777, 5875584, 0
291, 40998, 5875584, 0
292, 24784, 5875584, 0
293, 25513, 5875584, 0
294, 25352, 5875584, 0
295, 24993, 5875584, 0
296, 24990, 5875584, 0
297, 24998, 5875584, 0
298, 25034, 5875584, 0
299, 25076, 5875584, 0
300, 25029, 5875584, 0
301, 25080, 5875584, 0
302, 25149, 5875584, 0
303, 25049, 5875584, 0
304, 25103, 5875584, 0
305, 25055, 5875584, 0
306, 25078, 5875584, 0
307, 25367, 5875584, 0
308, 39213, 5875584, 0
309, 25182, 5875584, 0
310, 25396, 5875584, 0
311, 24981, 5875584, 0
312, 61926, 5875584, 0
313, 25286, 5875584, 0
314, 24931, 5875584, 0
315, 25370, 5875584, 0
316, 24959, 5875584, 0
317, 25088, 5875584, 0
318, 25061, 5875584, 0
319, 25026, 5875584, 0
320, 25187, 5875584, 0
321, 33053, 5875584, 0
322, 26811, 5875584, 0
323, 25112, 5875584, 0
324, 25044, 5875584, 0
325, 25004, 5875584, 0
326, 25444, 5875584, 0
327, 25021, 5875584, 0
328, 25010, 5875584, 0
329, 25124, 5875584, 0
330, 50299, 5875584, 0
331, 25019, 5875584, 0
332, 25229, 5875584, 0
333, 25187, 5875584, 0
334, 25260, 5875584, 0
335, 25966, 5875584, 0
336, 25015, 5875584, 0
337, 25029, 5875584, 0
338, 24890, 5875584, 0
339, 61192, 5875584, 0
340, 26605, 5875584, 0
341, 25458, 5875584, 0
342, 25875, 5875584, 0
343, 25205, 5875584, 0
344, 25107, 5875584, 0
345, 25200, 5875584, 0
346, 25090, 5875584, 0
347, 25570, 5875584, 0
348, 25081, 5875584, 0
349, 25085, 5875584, 0
350, 25119, 5875584, 0
351, 25639, 5875584, 0
352, 25118, 5875584, 0
353, 25315, 5875584, 0
354, 25334, 5875584, 0
355, 25147, 5875584, 0
